mode,id,question,hit,rank,latency_s,top_sources
hybrid,12,游泳池实验中的边界反射为什么会形成多径？,1,1,0.2013,11_2022_Multipath_Propagation_of_Acoustic_Signal_in_a_Swimming_Pool—Source_Localization_Problem.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
hybrid,13,浅水波导中多径对被动声源定位有什么影响？,0,,0.1953,"06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
hybrid,14,匹配场处理MFP的基本原理是什么？,1,1,0.1861,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 08_2022_Coarse-to-Fine_Localization_of_Underwater_Acoustic_Communication_Receivers.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf
hybrid,15,压缩感知为什么可以用于匹配场成像？,1,1,0.1826,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf
hybrid,16,短水听器阵列如何实现两个声源的匹配场定位？,1,3,0.204,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
hybrid,17,时间反转镜为什么能够用于水下声源定位？,1,1,0.189,"15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
hybrid,18,射线理论如何辅助被动时间反转定位？,0,,0.1843,16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 12_2021_Passive_Source_Localization_Using_Acoustic_Intensity_in_Multipath-Dominant_Shallow-Water_Waveguide.pdf
hybrid,19,DOA估计在水下目标定位中的作用是什么？,1,1,0.1934,16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf
hybrid,20,虚拟时间反转如何改善均匀线阵DOA估计？,1,1,0.1903,16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
hybrid,21,信号自消除现象如何被用于水声DOA估计？,1,1,0.1787,17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf
hybrid,22,水声OFDM信道为什么具有稀疏多径特性？,1,1,0.1915,"21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf"
hybrid,23,稀疏贝叶斯学习如何用于水声OFDM信道估计？,1,1,0.2039,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf"
hybrid,24,时变水声OFDM信道的聚簇稀疏性是什么？,1,4,0.2108,"23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf"
hybrid,25,深度学习如何用于水声OFDM信道估计？,1,1,0.1881,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf"
hybrid,26,数据增强为什么可能改善水声OFDM信道估计？,1,1,0.2038,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf"
hybrid,27,导频辅助OFDM在水声通信中的作用是什么？,1,1,0.1904,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf"
hybrid,28,浅水水声OFDM信道建模需要考虑哪些因素？,1,1,0.19,"22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf"
hybrid,29,信道知识对水声通信性能有什么作用？,0,,0.1825,22_2019_Channel_Modelling_and_Estimation_for_Shallow_Underwater_Acoustic_OFDM_Communication_via_Simulation_Platform.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 20_2024_Underwater-Acoustic-OFDM_Channel_Estimation_Based_on_Deep_Learning_and_Data_Augmentation.pdf
hybrid,30,声速剖面SSP的测量与估计方法有哪些？,1,2,0.1852,08_2022_Coarse-to-Fine_Localization_of_Underwater_Acoustic_Communication_Receivers.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf | 08_2022_Coarse-to-Fine_Localization_of_Underwater_Acoustic_Communication_Receivers.pdf | 24_2024_Underwater_SSP_Measurement_and_Estimation__A_Survey.pdf
rerank,1,TDOA水下定位的基本原理是什么？,1,1,5.4802,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 02_2024_Underwater_Acoustic_Source_Seeking_Using_Time-Difference-of-Arrival_Measurements.pdf | 11_2022_Multipath_Propagation_of_Acoustic_Signal_in_a_Swimming_Pool—Source_Localization_Problem.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf
rerank,2,未知声速会怎样影响TDOA/FDOA联合定位？,1,1,5.9844,04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
rerank,3,传感器位置误差为什么会降低TDOA定位精度？,1,1,5.8738,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf
rerank,4,Majorization-Minimization如何用于水下TDOA定位？,1,1,5.0955,05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf
rerank,5,NLOS条件为什么会给水下传感器网络定位带来偏差？,1,1,6.4648,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf
rerank,6,RSS测量如何用于水下声学传感器网络目标定位？,1,2,5.3425,05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf
rerank,7,粗到细定位策略在水声通信接收机定位中的作用是什么？,1,5,5.1748,"05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 02_2024_Underwater_Acoustic_Source_Seeking_Using_Time-Difference-of-Arrival_Measurements.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 08_2022_Coarse-to-Fine_Localization_of_Underwater_Acoustic_Communication_Receivers.pdf"
rerank,8,移动目标协同定位中传播速度未知时如何处理？,1,1,6.2395,09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 09_2024_A_Co-Localization_Algorithm_for_Underwater_Moving_Targets_with_an_Unknown_Constant_Signal_Propagation_Speed_an.pdf | 07_2018_Target_Localization_in_Underwater_Acoustic_Sensor_Networks_Using_RSS_Measurements.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf
rerank,9,USBL定位的基本思想是什么？,1,1,6.2943,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf"
rerank,10,全海深USBL定位面临哪些主要误差来源？,1,4,6.4784,"04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf"
rerank,11,水声多径效应是什么？,1,1,6.0729,12_2021_Passive_Source_Localization_Using_Acoustic_Intensity_in_Multipath-Dominant_Shallow-Water_Waveguide.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
rerank,12,游泳池实验中的边界反射为什么会形成多径？,1,1,5.838,"11_2022_Multipath_Propagation_of_Acoustic_Signal_in_a_Swimming_Pool—Source_Localization_Problem.pdf | 11_2022_Multipath_Propagation_of_Acoustic_Signal_in_a_Swimming_Pool—Source_Localization_Problem.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 12_2021_Passive_Source_Localization_Using_Acoustic_Intensity_in_Multipath-Dominant_Shallow-Water_Waveguide.pdf"
rerank,13,浅水波导中多径对被动声源定位有什么影响？,0,,5.0987,06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 06_2023_Underwater_Wireless_Sensor_Network-Based_Localization_Method_under_Mixed_Line-of-Sight_Non-Line-of-Sight_Condi.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
rerank,14,匹配场处理MFP的基本原理是什么？,1,1,6.0719,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 03_2022_Direct_Localization_in_Underwater_Acoustics_via_Convolutional_Neural_Networks__A_Data-Driven_Approach.pdf | 08_2022_Coarse-to-Fine_Localization_of_Underwater_Acoustic_Communication_Receivers.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf
rerank,15,压缩感知为什么可以用于匹配场成像？,1,1,6.1921,13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 19_2021_Bayesian_Learning-Based_Clustered-Sparse_Channel_Estimation_for_Time-Varying_Underwater_Acoustic_OFDM_Communic.pdf
rerank,16,短水听器阵列如何实现两个声源的匹配场定位？,1,3,5.0925,"10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 10_2024_A_High-Precision,_Ultra-Short_Baseline_Positioning_Method_for_Full_Sea_Depth.pdf | 14_2019_Localization_of_Two_Sound_Sources_Based_on_Compressed_Matched_Field_Processing_with_a_Short_Hydrophone_Array_i.pdf | 13_2015_Underwater_Acoustic_Matched_Field_Imaging_Based_on_Compressed_Sensing.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf"
rerank,17,时间反转镜为什么能够用于水下声源定位？,1,1,4.8013,15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 15_2022_Underwater_Sound_Source_Localization_Based_on_Passive_Time-Reversal_Mirror_and_Ray_Theory.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf
rerank,18,射线理论如何辅助被动时间反转定位？,0,,6.6979,16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 25_2024_Artificial_Intelligence-Based_Underwater_Acoustic_Target_Recognition__A_Survey.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
rerank,19,DOA估计在水下目标定位中的作用是什么？,1,1,5.6818,17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 01_2018_Underwater_Source_Localization_Using_TDOA_and_FDOA_Measurements_with_Unknown_Propagation_Speed_and_Sensor_Para.pdf | 05_2020_Underwater_TDOA_Acoustical_Location_Based_on_Majorization-Minimization_Optimization.pdf | 04_2023_Efficient_Underwater_Acoustical_Localization_Method_Based_on_TDOA_with_Sensor_Position_Errors.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
rerank,20,虚拟时间反转如何改善均匀线阵DOA估计？,1,1,5.585,16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
rerank,21,信号自消除现象如何被用于水声DOA估计？,1,1,5.3602,17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 17_2019_In-Depth_Exploration_of_Signal_Self-Cancellation_Phenomenon_to_Achieve_DOA_Estimation_of_Underwater_Acoustic_S.pdf | 16_2018_DOA_Estimation_for_Underwater_Target_by_Active_Detection_on_Virtual_Time_Reversal_Using_a_Uniform_Linear_Array.pdf
rerank,22,水声OFDM信道为什么具有稀疏多径特性？,1,1,6.7425,"21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 21_2021_Pilot-Assisted_OFDM_for_Underwater_Acoustic_Communication.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf | 23_2023_On_the_Effect_of_Channel_Knowledge_in_Underwater_Acoustic_Communications__Estimation,_Prediction_and_Protocol.pdf"
